,0,1,2
Date,2017-12-31,2016-12-31,2015-12-31
Net Income,7399200.0,-39038000.0,6437600.0
Total Assets,236400000.0,218700000.0,181000000.0
Operating Cash Flow,11920000.0,13110000.0,5790000.0
Beginning Year Total Assets,218700000.0,181000000.0,197700000.0
Long Term Debt,147500000.0,127700000.0,110400000.0
Current Assets,0.0,0.0,0.0
Current Liabilities,41500000.0,48500000.0,29300000.0
Weighted Average Shares Out,1449576.0,1566699.0,1544285.0
Gross Margin,1.0,1.0,1.0
Revenue,35553800.0,28716300.0,38533700.0
